tag,score,conversion_rate,entry_rate,avg_dwell_time_min,social_per_entrant
variant_009,0.3197960219587475,0.23626100661253294,0.11961412802103055,11.861890567718504,0.34219842738205375
variant_017,0.30145641316670835,0.17848484848484847,0.13882442239919843,12.587779882154882,0.5743973232323233
variant_037,0.2993369513423019,0.16986331569664903,0.1467525433076294,11.919771457965902,0.5102791005291006
variant_033,0.2958018063957013,0.1791979949874687,0.1174953334464619,13.392573696145126,0.15588542785535267
variant_001,0.2854114113128888,0.14819206558336992,0.1242489139791707,12.968130581174059,0.3212005709266578
variant_022,0.28168311740271573,0.1221537407978086,0.16090139937447573,10.223695286195287,0.16033530217428527
variant_047,0.27985462528267635,0.1293162393162393,0.13822182612848147,12.758637226970562,0.12094108262108261
variant_049,0.274102297114103,0.11056231003039513,0.14404816671105625,13.760959436966274,0.26693493993342016
variant_044,0.2739485579514385,0.11942230478815845,0.12564133625047083,13.226537291171438,0.2628421965202454
baseline_random,0.2724939255822519,0.11125886524822694,0.13452514800582213,14.067129629629632,0.2713374704491725
variant_021,0.2711312083772009,0.11797791580400276,0.1168530839840032,15.09265873015873,0.14235631469979293
variant_014,0.2708554831330212,0.11245583504719718,0.1274099326719089,14.40527826117527,0.0977906449401466
variant_041,0.2702488063311109,0.11183574879227054,0.12064462746875892,11.467901234567902,0.3463953301127214
variant_011,0.26918410152946826,0.10750703607846467,0.12906475489301725,15.612028629885772,0.09208402986974414
variant_042,0.26801047420532115,0.10212765957446808,0.12988734029374507,14.77819805621224,0.29548557919621754
variant_012,0.26762992918159517,0.10171568627450982,0.1266611295681063,13.96776279956427,0.4028571895424837
variant_018,0.26438250296110494,0.09175278622087134,0.1364450095032619,14.077616233254531,0.09809664302600472
variant_019,0.26430907330202436,0.09428073918748237,0.12689807310370346,14.699577094752849,0.3042907515726741
variant_046,0.26255074348574786,0.08562091503267973,0.13585886252677856,14.381753812636168,0.28265124183006535
variant_039,0.2618952458188276,0.09014557670772676,0.12433964828040163,14.70875326614408,0.24227136991414708
variant_005,0.2618064515359713,0.09532263602031044,0.11234542440976758,15.243995184402161,0.30207806147341026
variant_013,0.2613641859376828,0.09226884226884226,0.11625670021418445,16.25247668997669,0.3013272468272468
variant_038,0.26132341783649676,0.09815078236130868,0.10234111952861953,13.174272957167693,0.3987202465623519
variant_029,0.2591885075109202,0.09007213193259704,0.10725327545529223,13.228208773557611,0.4272499117057256
variant_031,0.2591853291353127,0.08384580947668528,0.12457118185620113,14.421040712727995,0.18319224334959117
variant_030,0.25909454075714067,0.08935957780630438,0.11360062766043084,14.821988066371892,0.15764602563318864
variant_010,0.25896689787114907,0.08365079365079364,0.11966630311235919,12.106177248677248,0.3933299470899471
variant_002,0.25893489572536654,0.06764740635708379,0.15767977934761732,16.296114951356888,0.08499432825239274
variant_050,0.25875322253981986,0.08146022636696955,0.12431988920157015,13.953079334714916,0.32628853817949954
variant_015,0.25652790123383046,0.0809382321010228,0.1171542813248575,13.255251684030753,0.18043803211245066
variant_016,0.2548989393246768,0.07923750262355395,0.11257628655881373,13.977238868929303,0.1721702408731188
variant_023,0.25455995350508903,0.07139515455304929,0.12137378389971405,12.591720969089389,0.4317837259816207
variant_024,0.2545008133412057,0.07126734505087882,0.12574805091817776,15.055278034741496,0.21106628430465615
variant_020,0.2535960334140429,0.08172258946252754,0.10231480684931245,15.051166104184682,0.11100906479234653
variant_043,0.25302577355447686,0.05818809005083514,0.14485937249279082,16.41992707576858,0.19466575889615104
variant_048,0.2524906663602598,0.07129319955406911,0.11082719876525303,13.798653691316735,0.45198669639539196
variant_004,0.25202653876752634,0.0800122137888918,0.1497693699422259,9.438105236860263,0.3264186315797823
variant_034,0.2520151798668762,0.05706293706293706,0.14081033942762122,14.783449883449883,0.2569842890442891
variant_045,0.25126436590519696,0.06317374284853959,0.12498247511466283,14.286866405701096,0.2495934357121349
variant_003,0.2502204224459177,0.062127659574468086,0.12258017747781529,13.884881796690307,0.21333078014184395
variant_008,0.25018578651152046,0.06450160519927962,0.11450492973871557,14.089662777647272,0.3710396210163653
variant_007,0.24998891209755572,0.06172019195275008,0.1170112301075646,13.99758418440589,0.47464732373569585
variant_040,0.24992153308630738,0.06279757300744254,0.11998326934360128,13.581549327649725,0.20146250365252064
variant_036,0.24868449072724444,0.05874567637605241,0.12067796092289546,12.418452343438162,0.26265699806108866
variant_026,0.24772804391627593,0.04580670003850596,0.14418306604524816,14.716975356180209,0.1421876729559748
variant_035,0.2472230124091771,0.047246376811594194,0.13578792638234463,15.120562186227147,0.29171910201761864
variant_028,0.24540376742012548,0.04276016855694942,0.13510491938047978,14.57889006391495,0.31967903031243833
variant_027,0.2439413375986297,0.04135468802135469,0.1279146989374262,11.436464242019797,0.45413065065065067
variant_032,0.24326828719468405,0.049608697247514065,0.11399504167233976,13.920587993758724,0.15644999030261095
variant_006,0.24205740403340928,0.03818800247371676,0.12996502676362431,12.994279529993818,0.1972994227994228
variant_025,0.23748111641796443,0.028368794326241134,0.12253108071480397,14.872603861015714,0.40684563612679114
