iter,accepted,score,score_delta_vs_baseline,score_delta_vs_prev,conversion_rate,entry_rate,avg_dwell_time_min,social_per_entrant
0,1,0.25966795426195427,0.0,0.0,0.07692307692307693,0.14054054054054055,14.982371794871796,0.19765384615384615
1,1,0.28387844861021333,0.02421049434825906,0.02421049434825906,0.13725490196078433,0.1401098901098901,17.522875816993466,0.2386274509803921
2,0,0.28387844861021333,0.02421049434825906,0.0,0.13725490196078433,0.1401098901098901,17.522875816993466,0.2386274509803921
3,1,0.2862822272727273,0.026614273010773015,0.0024037786625139557,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
4,0,0.2862822272727273,0.026614273010773015,0.0,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
5,0,0.2862822272727273,0.026614273010773015,0.0,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
6,0,0.2862822272727273,0.026614273010773015,0.0,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
7,0,0.2862822272727273,0.026614273010773015,0.0,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
8,0,0.2862822272727273,0.026614273010773015,0.0,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
9,0,0.2862822272727273,0.026614273010773015,0.0,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
10,0,0.2862822272727273,0.026614273010773015,0.0,0.14583333333333334,0.13636363636363635,13.289930555555554,0.16904166666666665
11,1,0.28878437798441825,0.02911642372246398,0.0025021507116909647,0.15217391304347827,0.1329479768786127,14.16123188405797,0.331304347826087
12,1,0.29503231937593205,0.03536436511397778,0.0062479413915138005,0.17391304347826086,0.12137203166226913,15.708333333333334,0.29817391304347834
